label,sentence
-6,"['B6', 'Bb7 ', 'Ebm7', 'Dbm7', 'Gb', 'B6', 'Bb7 ', 'Ebm7', 'Dbm7', 'Gb', 'B6', 'Bb7 ', 'Ebm7', 'Dbm7', 'Gb', 'B6', 'Bb7 ', 'Ebm7', 'B6', 'Db ', 'Ebm7', 'Bbm', 'B6', 'Db ', 'Ebm7', 'Bb7 ', 'B6', 'Db ', 'Ebm7', 'Bbm', 'B6', 'Db ', 'Ebm9', 'BM7', 'Bb7 ', 'Ebm9', 'Dbm6', 'BM7', 'Bb7 ', 'Ebm9', 'Ab7 ', 'Bb', 'BM7', 'Gb/Bb', 'Bb7', 'Ebm7', 'Dbm9', 'Gb', 'BM7', 'Bb7 ', 'Ebm7', 'Abm', 'Db ', 'Bbm', 'Ebm', 'Db/F', 'Gb7 ', 'Abm', 'Db ', 'Bbm', 'GbM7']"
-4,"['E', 'Gb', 'Ebm', 'Ab', 'Dm-5', 'Dbadd9', 'Abadd9/C', 'Bbm7', 'Ebm', 'Ab7sus4', 'Ab7', 'Dbadd9', 'Abadd9/C', 'Bbm7', 'Ebsus4', 'Eb', 'Ebsus4', 'E', 'Gb', 'Ab', 'C7', 'Db', 'Dbm/E', 'Fm', 'Db', 'Ab/C', 'Bbm7', 'Bbm7/Eb', 'Ab', 'C7', 'Db', 'Dbm/E', 'Fm', 'Db', 'Ab/C', 'Bbm7', 'Bbm7/Eb', 'Cm', 'Fm', 'Bbm7', 'Bbm7/Eb', 'Cm', 'Fm', 'Bbm7', 'Bbm7/Eb', 'Cm', 'Fm', 'Ebm', 'Ebm/Ab', 'DbM7', 'Ab/C', 'Bbm7', 'Bbm7/Eb', 'E', 'Gb', 'Ebm', 'Ab', 'Dm-5', 'DbM7', 'Cm7', 'Bbm7 ']"
-4,"['Ab/C', 'DbM7', 'Bbm7/Eb', 'Ab', 'Eb/G', 'Fm7', 'Ab/Eb', 'Db', 'Ab/C', 'Bbm7', 'Ebsus4', 'Eb', 'Ab', 'Eb/G', 'Fm7', 'Ebm7', 'Ab7 ', 'DbM7', 'Bb7/Eb', 'Dbm/Ab', 'Ab', 'Ebm7', 'Ab7 ', 'Ab7 ', 'DbM7 ', 'GbM7 ', 'Gm7-5', 'C7', 'F7', 'AbM7', 'Bb', 'Gm7-5', 'C7', 'Fm7', 'F7/A', 'Fm7/Bb', 'Fm7/Bb', 'Bb', 'AbM7/Bb', 'Bb7', 'EbM7 ', 'Fm7', 'Eb/G', 'Bbm7', 'Eb7', 'Ab', 'Abm', 'Gm7-5', 'C7', 'Fm7', 'Fm7/Bb', 'Bb', 'AbM7/Bb', 'Bb7', 'EbM7 ', 'Fm7', 'Eb/G', 'Bbm7', 'C7 ', 'Fm7', 'Eaug']"
5,"['B', 'EM7', 'D#', 'G#m', 'C#m7', 'B/D#', 'Em ', 'B', 'D#m', 'EM7', 'D#', 'G#m', 'C#m7', 'E/F#', 'B', 'D#m', 'EM7', 'D#', 'G#m', 'G#m7', 'F#m9', 'AM7/B', 'B7', 'E', 'B/D#', 'C#m7', 'B', 'E', 'B/D#', 'C#m7', 'F#m7', 'B7', 'E', 'E/F#', 'F#', 'D#m', 'D#m/G#', 'G#m7', 'C#m7', 'C#m7/F#', 'F#m7', 'F#m7/B', 'B7', 'E', 'E/F#', 'F#', 'D#m', 'D#m/G#', 'G#m7', 'C#m7', 'C#m7/F#', 'B', 'EM7', 'D#7', 'G#m', 'C#m7', 'B/D#', 'Em9', 'B', 'D#m7', 'EM7']"
0,"['Am', 'Am', 'F', 'G', 'Am', 'F', 'G', 'F', 'Am', 'G', 'Am', 'F', 'Am', 'G', 'Am', 'G', 'C', 'F', 'G', 'C', 'C', 'F', 'G', 'C', 'C', 'F', 'G', 'C', 'C', 'F', 'G', 'C', 'Am', 'F', 'G', 'Am', 'F', 'G', 'F', 'Am', 'G', 'Am', 'F', 'Am', 'G', 'Am', 'G', 'C', 'F', 'G', 'C', 'C', 'F', 'G', 'C', 'C', 'F', 'G', 'C', 'C', 'F']"
2,"['Dadd9', 'DM7', 'D', 'Dadd9', 'DM7', 'D', 'Dadd9', 'DM7', 'D', 'D', 'A/C#', 'Bm7', 'F#m', 'GM7', 'D/F#', 'GM7', 'A', 'D', 'A/C#', 'Bm', 'A', 'G', 'D/F#', 'G', 'Asus4', 'A', 'D', 'A/C#', 'Bm7', 'A', 'G', 'D/F#', 'G', 'Asus4', 'A', 'Bm7', 'F#m', 'G', 'A', 'D', 'A/C#', 'Bm7', 'Asus4', 'A', 'G', 'D/F#', 'Bm7', 'G', 'Asus4', 'D', 'A/C#', 'Bm7', 'Asus4', 'A', 'G', 'D/F#', 'Bm7', 'G', 'A', 'D', 'A']"
-3,"['Eb', 'Bb/D', 'Cm7', 'Gm/Bb', 'Ab', 'G7', 'Ab', 'Bb', 'Eb', 'Eb', 'Eb', 'Bb/D', 'Cm7', 'Bb', 'Ab', 'G7', 'Ab', 'Bb', 'AbM7', 'Gm', 'Cm7', 'Fm7', 'Bb7', 'AbM7', 'Gm7', 'Cm7', 'Fm7', 'Bb7', 'Eb', 'Bb/D', 'Cm7', 'Bb', 'Ab', 'G7', 'Cm7', 'Bb7', 'Eb', 'Bb/D', 'Cm7', 'Bb', 'Ab', 'G7', 'Ab', 'Bb', 'Eb', 'Eb', 'AbM7', 'Gm', 'Cm7', 'Fm7', 'Bb7', 'AbM7', 'Gm', 'Cm7', 'Fm7', 'Bb7', 'Eb', 'Bb', 'Cm7', 'Bb', 'Ab']"
-1,"['Csus4 ', 'Fsus4', 'F', 'C9sus4', 'C69sus4', 'Bb/D', 'D', 'Am ', 'Am', 'Bb', 'BbM7', 'Fsus4', 'F', 'Bb', 'BbM7', 'C', ' F', ' Dm', ' Bb', 'C', 'F', ' F', ' Dm', ' Bb', 'C', ' F', ' Dm7', ' BbM7', 'C', ' F ', 'Fsus4 ', 'F ', ' F', ' Dm7', ' Bb', ' C', ' Dm7', 'F', ' Bb', 'C7sus4', ' Dm7', 'C69sus4', ' F', ' C7', ' Dm7', ' Am7', ' Bb', ' F', ' Bb ', 'C', ' F', ' C7', ' Dm7', ' Am7', ' Bb', ' F', ' Bb', 'C', 'F', 'F ', ' F']"
0,"['Am', 'Em', 'Dm', 'Am', 'Em', 'Dm', 'Am', 'Em', 'Dm', 'Am', 'Em', 'Dm', 'Am', 'Em', 'Dm', 'Am', 'Em', 'Dm', 'Am', 'Em', 'Dm', 'Am', 'Em', 'Dm', 'Am', 'Em', 'Dm', 'Am', 'Em', 'Dm', 'Am', 'Em', 'Dm', 'Am', 'Em', 'Dm', 'G', 'C', 'G', 'E7', 'Am', 'F', 'G', 'C', 'G', 'E7', 'Am', 'Dm', 'G', 'Am', 'Em', 'Dm', 'Am', 'Em', 'Dm', 'Am', 'Em', 'Dm', 'Am', 'Em', 'Dm']"
-4,"['Ab', 'Eb', 'Db', 'C', 'Bbm7', 'Bbm7/Eb', 'Ab', 'Absus4', 'Ab', 'Ab', 'Eb', 'Db', 'Ab', 'Db', 'Ab', 'Bbm', 'Db/Eb', 'Eb', 'Ab', 'Eb', 'Db', 'Ab', 'Db', 'Ab', 'Bbm', 'Bbm7/Eb', 'Ab', 'Db/Eb', 'Ab', 'Cm7', 'Fm7', 'Ab/Eb', 'Dbadd9', 'Ab', 'Db/Ab', 'Ab', 'Cm7', 'C7/E', 'Fm7', 'Ab/Eb', 'Bb/D', 'Bb', 'Db/Eb', 'Eb', 'Db/F', 'Eb/G', 'Ab', 'Eb', 'Db', 'Ab', 'Db', 'Ab/C', 'Bbm7', 'Eb', 'Ab', 'Eb', 'Db', 'C7', 'Bbm7', 'Db/Eb', 'Ab']"
